,marketing,discount,greedy,profit
0,2,0,2,310.5803199999998
1,2,0,2,273.9574399999998
2,2,0,2,289.7901799999999
3,2,0,2,282.2620999999998
4,2,0,2,317.82279999999986
5,2,25,2,291.37091999999984
6,2,25,2,380.4104999999999
7,2,25,2,268.08416
8,2,25,2,301.65756
9,2,25,2,378.8352199999997
10,2,50,2,403.56733999999994
11,2,50,2,276.0335
12,2,50,2,340.0895199999999
13,2,50,2,278.92939999999993
14,2,50,2,297.70858
15,2,75,2,212.71653999999995
16,2,75,2,359.3742399999998
17,2,75,2,305.4242599999999
18,2,75,2,234.97009999999986
19,2,75,2,213.52993999999993
